ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
CADM2	cell adhesion molecule 2(CADM2)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007420~brain development,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0032809~neuronal cell body membrane,GO:0045202~synapse,		IPR003585:Neurexin/syndecan/glycophorin C,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,				SM00294:4.1m,SM00408:IGc2,SM00409:IG,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0770~Synapse,KW-0966~Cell projection,KW-1003~Cell membrane,		KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Ig-like,DOMAIN:Ig-like C2-type 1,DOMAIN:Ig-like C2-type 2,DOMAIN:Ig-like V-type,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
CDC20	cell division cycle 20(CDC20)	Homo sapiens	GO:0007064~mitotic sister chromatid cohesion,GO:0007094~mitotic spindle assembly checkpoint,GO:0007346~regulation of mitotic cell cycle,GO:0007399~nervous system development,GO:0008284~positive regulation of cell proliferation,GO:0016567~protein ubiquitination,GO:0030154~cell differentiation,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0031915~positive regulation of synaptic plasticity,GO:0040020~regulation of meiotic nuclear division,GO:0050773~regulation of dendrite development,GO:0051301~cell division,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0051445~regulation of meiotic cell cycle,GO:0090129~positive regulation of synapse maturation,GO:0090307~mitotic spindle assembly,GO:1904668~positive regulation of ubiquitin protein ligase activity,GO:1905786~positive regulation of anaphase-promoting complex-dependent catabolic process,	GO:0000922~spindle pole,GO:0005654~nucleoplasm,GO:0005680~anaphase-promoting complex,GO:0005813~centrosome,GO:0005819~spindle,GO:0005829~cytosol,GO:0032991~macromolecular complex,GO:0033597~mitotic checkpoint complex,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0008022~protein C-terminus binding,GO:0010997~anaphase-promoting complex binding,GO:0019899~enzyme binding,GO:0042826~histone deacetylase binding,GO:1990757~ubiquitin ligase activator activity,	IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR024977:Anaphase-promoting complex subunit 4, WD40 domain,	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04120:Ubiquitin mediated proteolysis,hsa05166:Human T-cell leukemia virus 1 infection,hsa05203:Viral carcinogenesis,			SM00320:WD40,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0221~Differentiation,KW-0498~Mitosis,KW-0524~Neurogenesis,KW-0833~Ubl conjugation pathway,	KW-0206~Cytoskeleton,KW-0963~Cytoplasm,		KW-0677~Repeat,KW-0853~WD repeat,			KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),MUTAGEN:K->R: Does not affect its ability to bind the APC/C complex; when associated with R-485.,MUTAGEN:K->R: Does not affect its ability to bind the APC/C complex; when associated with R-490.,MUTAGEN:R->A: Loss of interaction with MAD2L1.,MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-41; A-72; A-153; A-157 and A-161.,MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-41; A-92; A-153; A-157 and A-161.,MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-42; A-72; A-92; A-157 and A-161.,MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-72; A-92; A-153; A-157 and A-161.,MUTAGEN:T->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-42; A-72; A-92; A-153 and A-161.,REGION:Disordered,REPEAT:WD 1,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,REPEAT:WD 6,REPEAT:WD 7,
CDC25C	cell division cycle 25C(CDC25C)	Homo sapiens	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000086~G2/M transition of mitotic cell cycle,GO:0006470~protein dephosphorylation,GO:0007049~cell cycle,GO:0007088~regulation of mitotic nuclear division,GO:0007283~spermatogenesis,GO:0008283~cell proliferation,GO:0010971~positive regulation of G2/M transition of mitotic cell cycle,GO:0051301~cell division,GO:1902751~positive regulation of cell cycle G2/M phase transition,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005758~mitochondrial intermembrane space,GO:0005829~cytosol,GO:0016607~nuclear speck,GO:0048471~perinuclear region of cytoplasm,	GO:0004721~phosphoprotein phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0050699~WW domain binding,	IPR000751:M-phase inducer phosphatase,IPR001763:Rhodanese-like domain,	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04914:Progesterone-mediated oocyte maturation,hsa05170:Human immunodeficiency virus 1 infection,hsa05206:MicroRNAs in cancer,			SM00450:RHOD,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,KW-0945~Host-virus interaction,	KW-0539~Nucleus,				KW-0378~Hydrolase,KW-0904~Protein phosphatase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Rhodanese,MUTAGEN:E->K: Partial loss of HIV-1 Vpr binding.,MUTAGEN:K->E: No effect on HIV-1 Vpr binding.,MUTAGEN:KKK->AAA: No effect on interaction with MARK3.,MUTAGEN:L->A: Abolishes interaction with MARK3. Reduces phosphorylation of S-216 by MARK3.,MUTAGEN:L->A: Reduces phosphorylation by MARK3 and CHEK1.,MUTAGEN:S->A: Facilitates nuclear exclusion.,MUTAGEN:S->A: No effect on interaction with MARK3. Abolishes phosphorylation by MARK3.,MUTAGEN:S->D: Mimicks phosphorylation state, leading to enhanced accumulation in the nucleus.,MUTAGEN:S->V: Loss of phosphorylation. Severely impairs PLK1-binding.,MUTAGEN:T->A: Loss of phosphorylation. Severely impairs PLK1-binding.,REGION:Disordered,REGION:HIV-1 Vpr binding site,
CDC45	cell division cycle 45(CDC45)	Homo sapiens	GO:0000076~DNA replication checkpoint,GO:0000727~double-strand break repair via break-induced replication,GO:0006268~DNA unwinding involved in DNA replication,GO:0006270~DNA replication initiation,GO:0007049~cell cycle,GO:0031938~regulation of chromatin silencing at telomere,GO:1902977~mitotic DNA replication preinitiation complex assembly,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0031261~DNA replication preinitiation complex,GO:0036064~ciliary basal body,GO:0071162~CMG complex,	GO:0003682~chromatin binding,GO:0003688~DNA replication origin binding,GO:0003697~single-stranded DNA binding,GO:0005515~protein binding,	IPR003874:CDC45 family,	hsa04110:Cell cycle,	617063~Meier-Gorlin syndrome 7,			KW-0131~Cell cycle,KW-0235~DNA replication,	KW-0158~Chromosome,KW-0539~Nucleus,	KW-0225~Disease variant,KW-0242~Dwarfism,				KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,REGION:Disordered,
CDCA2	cell division cycle associated 2(CDCA2)	Homo sapiens	GO:0007049~cell cycle,GO:0007059~chromosome segregation,GO:0007088~regulation of mitotic nuclear division,GO:0035307~positive regulation of protein dephosphorylation,GO:0051301~cell division,GO:0051983~regulation of chromosome segregation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005829~cytosol,							KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0539~Nucleus,					KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:PP1-binding,MUTAGEN:VTF->ATA: Abolishes interaction with PPP1CC but not subcellular location.,REGION:Disordered,
CDCA8	cell division cycle associated 8(CDCA8)	Homo sapiens	GO:0000070~mitotic sister chromatid segregation,GO:0000278~mitotic cell cycle,GO:0000281~mitotic cytokinesis,GO:0001934~positive regulation of protein phosphorylation,GO:0006468~protein phosphorylation,GO:0007052~mitotic spindle organization,GO:0007080~mitotic metaphase plate congression,GO:0051256~mitotic spindle midzone assembly,GO:0051276~chromosome organization,GO:0051301~cell division,GO:0090267~positive regulation of mitotic cell cycle spindle assembly checkpoint,GO:1901970~positive regulation of mitotic sister chromatid separation,GO:1902425~positive regulation of attachment of mitotic spindle microtubules to kinetochore,GO:1903490~positive regulation of mitotic cytokinesis,	GO:0000775~chromosome, centromeric region,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0010369~chromocenter,GO:0015630~microtubule cytoskeleton,GO:0030496~midbody,GO:0032133~chromosome passenger complex,GO:0032991~macromolecular complex,GO:0045171~intercellular bridge,GO:0051233~spindle midzone,	GO:0005515~protein binding,	IPR018851:Borealin-like, N-terminal,IPR018867:Cell division protein borealin,					KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0137~Centromere,KW-0158~Chromosome,KW-0206~Cytoskeleton,KW-0539~Nucleus,KW-0963~Cytoplasm,					KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),MUTAGEN:F->E: Loss of binding to BIRC5; when associated with E-70.,MUTAGEN:K->E: Loss of localization to the central spindle and midbody in anaphase or cytokinesis; when associated with E-17 and E-19.,MUTAGEN:K->R: Fails to exhibit normal localization to the nucleolus in interphase depleted cells.,MUTAGEN:L->Y: Loss of binding to INCENP; when associated with E-35.,MUTAGEN:R->E: Loss of binding to INCENP; when associated with Y-46.,MUTAGEN:R->E: Loss of localization to the central spindle and midbody in anaphase or cytokinesis; when associated with E-17 and E-20.,MUTAGEN:R->E: Loss of localization to the central spindle and midbody in anaphase or cytokinesis; when associated with E-19 and E-20.,MUTAGEN:S->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-106, A-171, A-185, A-189, A-199 and A-204.,MUTAGEN:S->A: Results in reduction but not abolition of phosphorylation.,MUTAGEN:S->D,K: No effect on the structure.,MUTAGEN:T->A: Decrease in AURKB activity and almost no phosphorylation by TTK; when associated with A-88; A-169 and A-230.,MUTAGEN:T->A: Decrease in AURKB activity and almost no phosphorylation by TTK; when associated with A-88; A-94 and A-230.,MUTAGEN:T->A: Decrease in AURKB activity and almost no phosphorylation by TTK; when associated with A-94; A-169 and A-230.,MUTAGEN:T->A: Decrease in AURKB activity and dimer disruption. Decrease in AURKB activity and almost no phosphorylation by TTK; when associated with A-88; A-94 and A-230.,MUTAGEN:T->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-106, A-171, A-185, A-189, A-199 and A-219.,MUTAGEN:T->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-106, A-171, A-185, A-189, A-204, A-219.,MUTAGEN:T->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-106, A-171, A-185, A-199, A-204 and A-219.,MUTAGEN:T->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-106, A-171, A-189, A-199, A-204 and A-219.,MUTAGEN:T->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-106, A-185, A-189, A-199, A-204 and A-219.,MUTAGEN:T->A: Decreases interaction with SOG1 and SOG2, abolishes localization to centromeres in prometaphase; when associated with A-171, A-185, A-189, A-199, A-204 and A-219.,MUTAGEN:T->D,K: Substantial loss of structure.,MUTAGEN:T->V: Decrease in AURKB activity and no effect on the structure.,MUTAGEN:W->E: Loss of binding to BIRC5; when associated with E-74.,REGION:Disordered,REGION:Required for centromere localization,REGION:Required for interaction with INCENP,REGION:Required for interaction with INCENP and BIRC5,REGION:Required for interaction with SENP3,REGION:Required to form a minimal CPC core complex that localizes to the central spindle and midbody and properly executes the role of the CPC during cytokinesis,
CREG2	cellular repressor of E1A stimulated genes 2(CREG2)	Homo sapiens		GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,		IPR012349:FMN-binding split barrel,IPR014631:Cellular repressor of E1A-stimulated genes (CREG),			PIRSF036911:cellular repressor of E1A-stimulated protein,			KW-0964~Secreted,		KW-0732~Signal,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,MUTAGEN:NN->QQ: Abolishes N-glycosylation.,
CENPA	centromere protein A(CENPA)	Homo sapiens	GO:0000132~establishment of mitotic spindle orientation,GO:0000281~mitotic cytokinesis,GO:0034080~CENP-A containing nucleosome assembly,GO:0051382~kinetochore assembly,GO:0061644~protein localization to CENP-A containing chromatin,GO:0071459~protein localization to chromosome, centromeric region,	GO:0000775~chromosome, centromeric region,GO:0000776~kinetochore,GO:0000779~condensed chromosome, centromeric region,GO:0000786~nucleosome,GO:0000939~condensed chromosome inner kinetochore,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005721~pericentric heterochromatin,GO:0005829~cytosol,GO:0043505~CENP-A containing nucleosome,	GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0030527~structural constituent of chromatin,GO:0046982~protein heterodimerization activity,	IPR000164:Histone H3,IPR007125:Histone core,IPR009072:Histone-fold,				SM00428:H3,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,KW-0945~Host-virus interaction,	KW-0137~Centromere,KW-0158~Chromosome,KW-0539~Nucleus,KW-0544~Nucleosome core,KW-0995~Kinetochore,				KW-0238~DNA-binding,	KW-0013~ADP-ribosylation,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	DOMAIN:Histone,MUTAGEN:H->G: Reduces location at centromeres. Abolishes location at centromeres; when associated with C-112.,MUTAGEN:L->C: No effect on location at centromeres. Abolishes location at centromeres; when associated with G-104.,MUTAGEN:RG->AA: Impairs retention at centromeres, but not targeting to centromeres.,MUTAGEN:S->A: Impaired mitotic chromosome congression and chromosome segregation; when associated with A-17.,MUTAGEN:S->A: Impaired mitotic chromosome congression and chromosome segregation; when associated with A-19.,MUTAGEN:S->A: Induces a delay at the terminal stage of cytokinesis and chromosome misalignment during mitosis due to a defect in kinetochore attachment to microtubules.,MUTAGEN:S->A: No effect on interaction with HJURP. Impairs localization at centromeres.,MUTAGEN:S->E,Q: Impairs interaction with HJURP, association with chromatin and localization at centromeres.,REGION:CATD,REGION:Disordered,REGION:Important for flexibility of DNA ends that protrude from nucleosomes,
CENPE	centromere protein E(CENPE)	Homo sapiens	GO:0000278~mitotic cell cycle,GO:0007018~microtubule-based movement,GO:0007052~mitotic spindle organization,GO:0007059~chromosome segregation,GO:0007079~mitotic chromosome movement towards spindle pole,GO:0007080~mitotic metaphase plate congression,GO:0030071~regulation of mitotic metaphase/anaphase transition,GO:0045860~positive regulation of protein kinase activity,GO:0051301~cell division,GO:0051310~metaphase plate congression,GO:0051315~attachment of mitotic spindle microtubules to kinetochore,GO:0051382~kinetochore assembly,GO:0099606~microtubule plus-end directed mitotic chromosome migration,GO:0099607~lateral attachment of mitotic spindle microtubules to kinetochore,	GO:0000775~chromosome, centromeric region,GO:0000776~kinetochore,GO:0000779~condensed chromosome, centromeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005828~kinetochore microtubule,GO:0005829~cytosol,GO:0005874~microtubule,GO:0015630~microtubule cytoskeleton,GO:0016020~membrane,GO:0030496~midbody,GO:0043231~intracellular membrane-bounded organelle,GO:0045171~intercellular bridge,GO:0051233~spindle midzone,GO:0072686~mitotic spindle,GO:1990023~mitotic spindle midzone,	GO:0003777~microtubule motor activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008017~microtubule binding,GO:0008574~ATP-dependent microtubule motor activity, plus-end-directed,GO:0043515~kinetochore binding,GO:1990939~ATP-dependent microtubule motor activity,	IPR001752:Kinesin, motor domain,IPR019821:Kinesin, motor region, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		616051~Microcephaly 13, primary, autosomal recessive,		SM00129:KISc,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0137~Centromere,KW-0158~Chromosome,KW-0206~Cytoskeleton,KW-0493~Microtubule,KW-0963~Cytoplasm,KW-0995~Kinetochore,	KW-0225~Disease variant,KW-0905~Primary microcephaly,	KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0217~Developmental protein,KW-0505~Motor protein,KW-9996~Developmental protein,	KW-0449~Lipoprotein,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0636~Prenylation,KW-0832~Ubl conjugation,	COMPBIAS:Polar residues,DOMAIN:Kinesin motor,LIPID:S-farnesyl cysteine,PROPEP:Removed in mature form,REGION:Disordered,REGION:Globular autoinhibitory domain,REGION:Kinetochore-binding domain,
CENPF	centromere protein F(CENPF)	Homo sapiens	GO:0000278~mitotic cell cycle,GO:0001822~kidney development,GO:0007059~chromosome segregation,GO:0007094~mitotic spindle assembly checkpoint,GO:0007517~muscle organ development,GO:0009410~response to xenobiotic stimulus,GO:0010389~regulation of G2/M transition of mitotic cell cycle,GO:0015031~protein transport,GO:0016202~regulation of striated muscle tissue development,GO:0021591~ventricular system development,GO:0030154~cell differentiation,GO:0042493~response to drug,GO:0045892~negative regulation of transcription, DNA-templated,GO:0051301~cell division,GO:0051310~metaphase plate congression,GO:0051382~kinetochore assembly,GO:0071897~DNA biosynthetic process,	GO:0000775~chromosome, centromeric region,GO:0000776~kinetochore,GO:0000785~chromatin,GO:0000922~spindle pole,GO:0000940~condensed chromosome outer kinetochore,GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005819~spindle,GO:0005829~cytosol,GO:0005930~axoneme,GO:0016363~nuclear matrix,GO:0030496~midbody,GO:0036064~ciliary basal body,GO:0045120~pronucleus,GO:0048471~perinuclear region of cytoplasm,GO:0097539~ciliary transition fiber,	GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0008022~protein C-terminus binding,GO:0042803~protein homodimerization activity,GO:0070840~dynein complex binding,	IPR018302:Centromere protein Cenp-F, Rb protein-binding domain,IPR018463:Centromere protein Cenp-F, N-terminal,IPR019513:Centromere protein Cenp-F, leucine-rich repeat-containing domain,		243605~Stromme syndrome,			KW-0131~Cell cycle,KW-0132~Cell division,KW-0221~Differentiation,KW-0237~DNA synthesis,KW-0498~Mitosis,KW-0517~Myogenesis,	KW-0137~Centromere,KW-0158~Chromosome,KW-0206~Cytoskeleton,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0995~Kinetochore,	KW-0990~Primary ciliary dyskinesia,KW-1186~Ciliopathy,	KW-0175~Coiled coil,KW-0677~Repeat,		KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0007~Acetylation,KW-0449~Lipoprotein,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0636~Prenylation,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,LIPID:S-farnesyl cysteine,MOTIF:Nuclear localization signal,PROPEP:Removed in mature form,REGION:2 X 177 AA tandem repeats,REGION:Disordered,REGION:Interaction with NDE1 and NDEL1,REGION:Interaction with SNAP25 and required for localization to the cytoplasm,REGION:Sufficient for centromere localization,REGION:Sufficient for nuclear localization,REGION:Sufficient for self-association,REPEAT:1,REPEAT:2,
CENPU	centromere protein U(CENPU)	Homo sapiens	GO:0043009~chordate embryonic development,	GO:0000775~chromosome, centromeric region,GO:0000776~kinetochore,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,	GO:0005515~protein binding,	IPR025214:CENP-A nucleosome associated complex subunit CENP-U,					KW-0804~Transcription,KW-0805~Transcription regulation,KW-0945~Host-virus interaction,	KW-0137~Centromere,KW-0158~Chromosome,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0995~Kinetochore,		KW-0175~Coiled coil,		KW-0678~Repressor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),MOTIF:Nuclear localization signal,MUTAGEN:S->A: Insensitive to PLK1-induced degradation.,MUTAGEN:T->A: Insensitive to PLK1-induced degradation.,MUTAGEN:T->D: Failed to enhance the PLK1-dependent degradation.,MUTAGEN:T->E: Failed to enhance the PLK1-dependent degradation.,REGION:Disordered,
CEP55	centrosomal protein 55(CEP55)	Homo sapiens	GO:0000281~mitotic cytokinesis,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0045184~establishment of protein localization,GO:1904888~cranial skeletal system development,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005814~centriole,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030496~midbody,GO:0032154~cleavage furrow,GO:0034451~centriolar satellite,GO:0045171~intercellular bridge,GO:0090543~Flemming body,	GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR022008:TSG101 and ALIX binding domain of CEP55,		236500~Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly,			KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0206~Cytoskeleton,KW-0963~Cytoplasm,	KW-0225~Disease variant,	KW-0175~Coiled coil,		KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,DOMAIN:EABR,MUTAGEN:D->A: Diminishes interaction with PDCD6IP.,MUTAGEN:E->A: Abolishes interaction with PDCD6IP.,MUTAGEN:R->A: Abolishes interaction with PDCD6IP.,MUTAGEN:S->A: No effect on phosphorylation in mitotic cells.,MUTAGEN:S->A: No effect on phosphorylation in mitotic cells. Arrests mitotic cells at the midbody stage; when associated with A-425 and A-428.,MUTAGEN:S->A: Partial loss of phosphorylation in mitotic cells. Complete loss of phosphorylation in mitotic cells; when associated with A-425. Remains associated with the centrosome throughout mitosis; when associated with A-425. Arrests mitotic cells at the midbody stage; when associated with A-425 and A-436.,MUTAGEN:S->A: Partial loss of phosphorylation in mitotic cells. Complete loss of phosphorylation in mitotic cells; when associated with A-428. Remains associated with the centrosome throughout mitosis; when associated with A-428. Arrests mitotic cells at the midbody stage; when associated with A-428 and A-436.,MUTAGEN:W->A: Abolishes interaction with PDCD6IP.,MUTAGEN:Y->A: Abolishes interaction with PDCD6IP.,REGION:Disordered,REGION:Interaction with PDCD6IP,REGION:Interaction with TSG101,REGION:Required for localization to the interphase centrosome and to the midbody during cytokinesis,
CBLN1	cerebellin 1 precursor(CBLN1)	Homo sapiens	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007268~chemical synaptic transmission,GO:0007399~nervous system development,GO:0007416~synapse assembly,GO:0009306~protein secretion,GO:0021707~cerebellar granule cell differentiation,GO:0050808~synapse organization,GO:0051649~establishment of localization in cell,GO:0051965~positive regulation of synapse assembly,GO:0090394~negative regulation of excitatory postsynaptic potential,GO:0099558~maintenance of synapse structure,GO:1900454~positive regulation of long term synaptic depression,GO:1905606~regulation of presynapse assembly,GO:1905703~negative regulation of inhibitory synapse assembly,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0043083~synaptic cleft,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0098688~parallel fiber to Purkinje cell synapse,GO:0098978~glutamatergic synapse,	GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR001073:Complement C1q protein,IPR008983:Tumour necrosis factor-like domain,				SM00110:C1Q,		KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-0964~Secreted,KW-1003~Cell membrane,		KW-0732~Signal,	KW-0730~Sialic acid,		KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Interchain,DOMAIN:C1q,MUTAGEN:C->S: Abolishes hexamer formation; when associated with S-34. Abolishes interaction with NRXN1 isoform 3B; when associated with S-34. Abolishes GRID2 interaction.; when associated with S-34.,MUTAGEN:C->S: Abolishes hexamer formation; when associated with S-38. Abolishes interaction with NRXN1; when associated with S-38. Abolishes GRID2 interaction; when associated with S-38.,MUTAGEN:D->A: Abolishes GRID2 interaction.; when associated with A-122 and A-124.,MUTAGEN:R->A: Abolishes GRID2 interaction.; when associated with A-122 and A-147.,MUTAGEN:Y->A: Abolishes GRID2 interaction.; when associated with A-124 and A-147.,PEPTIDE:Cerebellin,PEPTIDE:[des-Ser1]-cerebellin,REGION:Essential for interaction with GRID2,REGION:Essential for interaction with NRXN1 and linker of two C1q trimers into disulfide-linked hexamers,REGION:Necessary for interaction with CBLN3, and homotrimerization,
